Student ID,Attendance_Pct,CA_Score,Exam_Score,Total_Score,Study_Hours_Week,Class_Participation,Previous_GPA,Academic_Momentum,Performance Class
STU0096,71.8,17.2,44.3,61.5,9.7,3,3.22,-0.51,Average
STU0016,88.6,35.9,56.5,92.4,15.9,5,4.14,0.27,Excellent
STU0031,100.0,37.4,53.9,91.3,15.9,4,3.79,-0.06,Excellent
STU0159,54.0,22.5,31.9,54.4,7.8,2,1.76,-0.11,Poor
STU0129,72.1,20.3,40.2,60.5,9.8,3,2.78,-0.06,Average
STU0116,64.3,22.1,41.7,63.800000000000004,12.3,3,3.15,0.09,Average
STU0070,81.6,27.9,43.7,71.6,15.6,5,3.57,0.17,Good
STU0171,46.4,18.9,34.4,53.3,6.4,1,1.25,-0.01,Poor
STU0175,47.9,23.7,27.5,51.2,7.1,2,2.33,-0.52,Poor
STU0046,84.7,25.8,47.2,73.0,12.9,4,2.94,0.04,Good
STU0067,75.4,23.7,45.0,68.7,17.2,4,3.54,0.37,Good
STU0183,46.0,2.9,19.1,22.0,2.0,1,0.31,-0.56,Fail
STU0166,54.0,17.2,30.5,47.7,8.4,1,2.15,-0.28,Poor
STU0079,78.2,34.6,47.4,82.0,11.4,3,2.38,0.15,Good
STU0187,29.6,5.7,11.0,16.7,2.4,1,0.55,-0.25,Fail
STU0178,58.3,19.7,25.2,44.9,5.5,2,1.96,-0.31,Poor
STU0057,80.9,30.3,42.3,72.6,18.4,4,3.3,0.07,Good
STU0153,57.3,19.6,31.0,50.6,4.8,2,1.43,-0.66,Poor
STU0083,88.8,30.3,43.6,73.9,15.4,4,3.17,0.46,Good
STU0069,87.1,25.3,54.0,79.3,8.5,4,3.18,0.05,Good
STU0125,65.8,20.7,45.9,66.6,7.1,2,2.52,-0.13,Average
STU0017,93.5,36.9,53.6,90.5,20.7,5,3.76,0.96,Excellent
STU0149,51.3,27.8,30.3,58.1,4.5,1,2.1,-0.13,Poor
STU0094,63.6,22.6,29.5,52.1,11.7,3,3.04,-0.13,Average
STU0066,82.3,32.9,57.6,90.5,12.6,4,2.97,-0.19,Good
STU0061,75.7,33.1,46.1,79.2,14.4,4,2.81,-0.19,Good
STU0085,78.6,36.5,49.5,86.0,12.6,4,3.02,-0.16,Good
STU0068,73.3,29.7,36.0,65.7,20.9,3,3.14,0.35,Good
STU0126,66.0,20.9,42.7,63.6,9.9,2,2.64,0.01,Average
STU0133,82.4,19.9,40.7,60.6,5.5,2,2.6,-0.22,Average
STU0010,88.6,35.4,54.1,89.5,20.3,5,3.89,-0.01,Excellent
STU0019,95.5,34.0,56.4,90.4,25.4,4,4.09,-0.06,Excellent
STU0056,86.1,28.8,53.4,82.2,14.8,3,3.2,0.25,Good
STU0076,77.2,25.1,42.0,67.1,11.6,4,3.29,0.5,Good
STU0151,56.7,23.9,24.0,47.9,4.5,1,2.58,-0.46,Poor
STU0105,62.4,27.3,38.4,65.7,3.6,3,2.79,-0.4,Average
STU0136,67.0,20.1,28.1,48.2,9.1,3,2.26,0.0,Average
STU0138,55.9,26.2,34.2,60.400000000000006,8.6,3,1.23,-0.21,Average
STU0165,49.8,17.7,21.5,39.2,5.0,2,1.92,0.01,Poor
STU0077,81.6,27.3,48.2,75.5,11.9,3,2.94,-0.14,Good
STU0080,79.4,32.4,38.9,71.3,15.7,4,2.86,0.42,Good
STU0198,54.2,8.4,17.9,26.299999999999997,3.0,1,1.07,-0.54,Fail
STU0039,97.4,23.0,38.1,61.1,16.1,4,2.5,0.24,Good
STU0025,90.3,37.9,49.9,87.8,16.3,5,3.77,-0.02,Excellent
STU0123,65.2,27.8,31.9,59.7,9.8,3,2.87,0.44,Average
STU0196,38.2,14.4,25.2,39.6,4.8,1,1.15,-0.13,Fail
